factor_id,candidate_index,horizon,cost_bp,q,positive_validation_blocks,worst_validation_block_bp,validation_rank_ic,validation_trades,validation_trades_per_year,validation_cagr,validation_sharpe,validation_max_drawdown,validation_calmar,validation_mean_gross_bp,selection_rank_ic,selection_trades,selection_trades_per_year,selection_cagr,selection_sharpe,selection_max_drawdown,selection_calmar,selection_mean_gross_bp,frequency_retention,balanced_cagr,lineage_hash,orientation,threshold_q95,components,weights,positive_selection_folds,worst_selection_fold_return,positive_selection_years,top_one_selection_profit_share,top_five_selection_profit_share,development_candidate,historically_stable_candidate,core_candidate
BTC_LONG_4f7dbb4e25c401ae_1d,384390,1d,5.0,99,4,123.0006413374846,0.0743972034115609,59,44.08185182291482,1.1283186002450645,2.7652025017982416,-0.0600915755007361,18.77665198229395,185.3494194301745,-0.0113466078886456,217,62.90416666666667,-0.0345352592860774,-0.0173701936495869,-0.3382958602608052,-0.1020859648103672,4.312673587243978,1.4269855749110691,-0.0345352592860774,4f7dbb4e25c401ae,1,2.268601655960083,x_flow_sign_bias_72|tanh(x_return_sign_bias_3)|(x_flow_price_gap*m1_return_efficiency_15)|(x_flow_autocorr_3*m1_return_efficiency_5),1|-1|-0.5|-1,3,-0.27878090648455234,1,0.06069585766906567,0.20504560967444738,True,False,False
BTC_LONG_3d6009aa7bd17e8f_1d,296650,1d,5.0,99,3,-226.62303898306868,0.0688578130978846,29,21.66735089600898,0.4109545777391234,1.4624313264783566,-0.1412634506559614,2.9091359147100144,178.0864164859234,0.0078724864473083,204,59.135714285714286,-0.064604266420386,-0.1854903221542464,-0.394785377708025,-0.1636440204433459,-2.0175321976286265,2.7292544699872283,-0.064604266420386,3d6009aa7bd17e8f,-1,1.8291497230529783,m1_flow_mean_60|signed_sqrt(m1_return_efficiency_5)|(x_flow_std_3*x_return_sum_72),-1|0.5|-0.5,2,-0.06965680043200295,1,0.061282957603660516,0.2184939426441076,True,False,False
BTC_LONG_b699cd3e8c21896c_1d,885152,1d,5.0,97,4,28.134187015700093,0.0518780103764489,97,72.47355299699555,0.5550658766320555,1.6016969603478242,-0.2878994690100149,1.927985065553375,72.43467677207454,-0.0208786879436256,402,116.53214285714286,0.1181097031264954,0.510383399295621,-0.2628577651948691,0.4493293285018043,18.810237068123033,1.6079264509354714,0.1181097031264954,b699cd3e8c21896c,1,1.943607807159424,x_flow_mean_curve_72_288|tanh(x_flow_autocorr_72)|tanh(m1_body_mean_60)|tanh(m1_flow_return_corr_curve_60_240),1|0.5|-0.5|-1,5,-0.06101178588072831,2,0.037283937765771775,0.1279240444904054,True,True,False
BTC_LONG_3bf312a1be80dfa7_1d,289683,1d,5.0,95,4,27.48651256192039,0.0202994594023941,140,104.60100432556058,0.5975340358801431,1.6312354406007938,-0.2393608204722812,2.4963736116092545,54.56889905122592,-0.0103784212051296,552,160.0142857142857,0.154949669660906,0.5837132956643447,-0.3869557284146251,0.4004325515369465,17.7927353302887,1.529758597883598,0.154949669660906,3bf312a1be80dfa7,-1,1.7197790145874023,x_flow_mean_288|tanh(x_price_volume_corr_12)|tanh(x_price_volume_corr_288)|(x_flow_mean_3*x_return_efficiency_12),-1|0.5|-0.5|0.5,5,-0.1661242817729301,1,0.029868361357045337,0.10592476744113612,True,True,False
BTC_LONG_0162323f5501c525_1d,6528,1d,5.0,95,3,-12.38251560578052,0.0696279608795607,151,112.81965466542606,0.5326876863750578,1.127518060192129,-0.3054411461740872,1.7439945241413235,52.96964284658179,0.0141839135233654,555,160.88392857142856,0.1190080743322152,0.4836007513249453,-0.4295495555876891,0.27705318928661,16.368722895764634,1.4260274865096882,0.1190080743322152,0162323f5501c525,-1,1.4707145690917969,(x_flow_std_12*x_return_sum_288)|(x_flow_sign_bias_12*x_volume_surprise_72),-0.5|-1,5,-0.1463633332010395,3,0.026515501883964974,0.10492010763678333,True,False,False
BTC_LONG_4e3f46e04d62e267_1d,378418,1d,5.0,95,3,-120.92374718556366,0.0793721684647903,96,71.72640296609869,0.5478537665262293,1.278125125038711,-0.2267317244195684,2.416308383525644,76.94741452591715,0.0279211221025256,304,88.12380952380953,-0.2500846137426769,-0.7846588430219684,-0.7413489512379379,-0.3373372462793322,-22.246504579936698,1.2286104681069958,-0.2500846137426769,4e3f46e04d62e267,1,1.3503079414367676,tanh(x_flow_return_corr_curve_3_12)|signed_sqrt(m1_impact_efficiency_curve_5_15)|(x_flow_std_72*x_return_sum_288),0.5|0.5|0.5,3,-0.5153528150837434,1,0.033483216793263555,0.14154143678543835,True,False,False
BTC_LONG_baff2e90c1784c1e_1d,906395,1d,5.0,99,2,-269.836160837508,0.0269579860735239,27,20.173050834215257,-0.1220296402696673,-0.5323153075079285,-0.336416172144992,-0.3627341678956914,-48.83361658646446,0.0126896946966163,93,26.958928571428572,0.0491055300769975,0.3378751386240303,-0.2799810117734171,0.1753887871393852,30.445558546187552,1.3363833161865568,-0.1220296402696673,baff2e90c1784c1e,-1,3.2431893348693848,(x_flow_autocorr_3*x_return_efficiency_curve_72_288)|(x_flow_mean_72*x_return_sum_72)|(x_flow_autocorr_72*x_return_sum_288),-1|1|1,4,-0.0366079145169364,3,0.07241043276034792,0.31286861592097753,False,False,False
BTC_LONG_064b6e8f9f1f68b7_1d,30333,1d,5.0,99,2,-198.5123231695024,0.0653215828426983,24,17.931600741524672,0.4533675655369993,1.3417087905434757,-0.0882898480493948,5.134990891403019,237.53109985786153,0.0212513808228203,153,44.35178571428571,0.0419762188713968,0.3269616996561589,-0.1942445808392994,0.2160998195678064,17.503099123104914,2.4733868634259255,0.0419762188713968,064b6e8f9f1f68b7,-1,1.931025505065918,m1_range_mean_240|tanh(m1_realized_vol_curve_60_240)|(x_flow_std_3*x_trade_surprise_12)|(x_flow_mean_72*x_trade_surprise_288),-0.5|-0.5|-0.5|1,6,-0.08997180481684963,3,0.0598967724179147,0.2506665952052379,False,False,False
BTC_LONG_b0a04f451dd77131_1d,856271,1d,5.0,95,3,-99.58921068543545,0.0642793578389255,114,85.1751035222422,0.8426410134047775,1.7199334559204356,-0.2599314341596083,3.2417818803991296,86.13063141059465,0.0331450936578958,428,124.06904761904762,0.0809931261958147,0.3984444899906972,-0.5946796298415824,0.1361962342940696,16.094570442844166,1.4566351256226986,0.0809931261958147,b0a04f451dd77131,-1,4.003156661987305,x_return_sign_entropy_12|x_flow_mean_curve_12_72|m1_realized_vol_240|signed_sqrt(x_flow_sign_bias_3),0.5|1|-1|-1,5,-0.3677704189371238,3,0.029480541122820517,0.11935796062953387,True,False,False
BTC_LONG_272646e4d2ccb318_1d,189068,1d,5.0,99,4,151.2688497959146,0.0688249243772386,32,23.90880098869956,0.8295945173962862,1.7622004620181304,-0.1432940932900276,5.789453691696731,286.11273748537377,0.0265050514396446,147,42.6125,-0.0826769777150085,-0.2770740111639083,-0.4569993387927709,-0.1809126856362892,-9.475825513627733,1.7822934751157407,-0.0826769777150085,272646e4d2ccb318,1,1.910513162612915,x_return_vol_12|tanh(m1_return_efficiency_5)|tanh(m1_flow_mean_60),0.5|1|1,3,-0.1647955348114586,2,0.06659843411740332,0.2854181664997414,True,False,False
BTC_LONG_b494b3674e36a18b_1d,875268,1d,5.0,97,4,57.818166183259414,0.0570311518800309,26,19.425900803318395,0.2094922027169632,0.9449757484156386,-0.1949697560300792,1.0744856380937535,116.11058449970017,0.0382304453832873,161,46.670833333333334,0.0306056156301732,0.2450563284446363,-0.3283660402507614,0.093205788292848,17.745791927864747,2.4025054902659067,0.0306056156301732,b494b3674e36a18b,1,3.0236077308654785,x_return_vol_72|tanh(m1_return_sum_240)|signed_sqrt(x_return_efficiency_curve_72_288)|(x_flow_sign_bias_72*x_jump_concentration_288),0.5|-0.5|-1|1,4,-0.1685071356126831,2,0.05571729704861592,0.23998403253512993,False,False,False
BTC_LONG_8e42f37d1caee67c_1d,688696,1d,5.0,97,4,95.07590454202445,0.0506474934663286,41,30.63315126677131,0.6391282880209543,1.5079565069698495,-0.1497737675015489,4.267291253218589,188.07660484424616,0.0391812297153138,167,48.41011904761905,0.1020964833272966,0.5514958354945972,-0.2444880092792904,0.4175930084598416,30.06571657076514,1.580317957693466,0.1020964833272966,8e42f37d1caee67c,1,1.3024568557739258,signed_sqrt(x_price_volume_corr_3)|signed_sqrt(x_return_vol_288),-1|0.5,5,-0.10420737730948704,2,0.06433700609376838,0.22680443087851487,True,True,False
BTC_LONG_286fccd727df237f_1d,195193,1d,5.0,99,4,5.7455560911355095,0.0814922298156851,35,26.150251081390145,0.9751105916898042,2.1964321992504505,-0.0720227399493568,13.538926627554831,284.5552414170314,0.027837311986483,118,34.20595238095238,-0.0478586669544196,-0.1824870888525555,-0.3490243752116285,-0.1371212739093104,-4.577647924484429,1.3080544532627867,-0.0478586669544196,286fccd727df237f,1,2.0132484436035156,signed_sqrt(x_range_surprise_12)|(x_flow_std_3*x_close_location)|(x_flow_std_72*x_return_sum_288)|(x_flow_return_corr_72*x_wick_asymmetry),-0.5|-1|0.5|-1,4,-0.17786310502351427,2,0.07055063186782777,0.28148888780980375,True,False,False
BTC_LONG_3fc88102a54ee0ad_1d,308435,1d,5.0,99,4,10.047193177451923,0.0422143377050154,50,37.35750154484307,0.6349290935687841,2.2139852638912596,-0.1246177283004157,5.0950141864098315,143.67795729700214,0.0051317064529825,192,55.65714285714286,0.0147997734747475,0.1814970187749003,-0.3461271848537323,0.042758194450984,12.898960107366262,1.4898518518518518,0.0147997734747475,3fc88102a54ee0ad,-1,0.9152215123176576,x_flow_sign_bias_288|(x_flow_autocorr_12*m1_return_efficiency_5),-0.5|0.5,3,-0.11627297455487562,2,0.04880516525526575,0.20933655062167,True,False,False
