factor_id,0,1,2,3,4,5,6
BTC_LONG_00496e0a18c5c27f_12h,0.14165225919335078,0.041930430106170036,-0.008773779850219099,0.03907941947150495,0.2281685379732497,-0.027983677436984433,0.2745057216429071
BTC_LONG_8c198db3ea178cb2_2d,0.1833608770107239,0.40955940955525105,0.30216335000001315,0.20341549979840806,0.034325880081085,-0.1170699730404352,-0.1549839264946622
BTC_LONG_5fcd25c8e6a72764_2d,0.10647578516105582,0.05710112195782091,0.4841096222564477,0.07670126918658454,-0.04864509034825232,0.09569927404617773,-0.062314767453782005
BTC_LONG_a7dad690be812564_3d,-0.014816686370856147,0.010968354822765536,0.44992139978848245,0.1042475309562414,0.22551976123543116,0.2543901227112444,-0.12707649025412715
BTC_LONG_1a18cc95e5440427_1d,0.15643250512078233,-0.0970072464194926,0.07886930237262502,-0.0014222520502694125,0.2701771720811491,0.03656810858774312,0.22812616954074727
BTC_LONG_9044a6d8eaac417b_1d,-0.09477083682269993,-0.025412750469886336,0.20833509528271504,0.07587621650791271,0.15863372392284797,0.20877129339828132,0.16829936487994568
BTC_LONG_3c323377de3e4078_3d,0.13485597297738983,-0.10554483115611946,0.1185615437239188,0.2304359593257026,0.13900269815041094,0.08941036836289967,0.08076435040461344
BTC_LONG_7633d7a44ab2b4b5_3d,0.12067353500065309,-0.1724974643699681,0.25551950960262737,0.31770122874786894,-0.13094544123574997,0.21838264431556037,0.11554982233465272
BTC_LONG_8d4a1327987b861e_12h,0.18268735158643978,0.01033702732278402,-0.03580465219932033,0.04581018482043781,0.1861221699070501,0.11380991499302867,0.09127218944037796
BTC_LONG_b69cfade287b0e6b_12h,0.17171245099941257,-0.020526429050253037,0.037283969325697386,-0.01729601894488869,0.09316283225953481,0.16462028016915325,0.16873505327180327
BTC_LONG_27cd54206caf7f3f_3d,-0.03628716243771091,0.43286170800523177,0.2048205862718851,0.18013584464209953,-0.20908805540047848,0.12748923469391032,0.07016004664353875
BTC_LONG_721f882d099afd18_3d,-0.35370540851129606,0.009871082053050872,0.2503487666614682,0.19350463993058914,0.3059841592990092,0.33177861376176004,-0.0700570584211117
BTC_LONG_94dd72fe1d374b6a_12h,0.3581091965947761,0.07909287165671047,0.23070903638670814,0.1161190280529561,0.042092922394243726,0.13789031028744853,-0.3200331321678023
BTC_LONG_8a84f7adec6f2c5d_12h,0.16382654737477875,0.029381857270132317,0.012306064632614633,0.15720969578535157,-0.09667043581637474,0.0033285212247200495,0.3712255559491544
BTC_LONG_044d4841e5e18788_2d,0.11280129376939929,0.07209623205762844,0.09999407355543694,-0.1118520107207977,0.04332257300691,0.17967053529195604,0.19077319304932833
BTC_LONG_b16e26d3230fb605_1d,0.27632274607956514,-0.38286882737283,0.4636831854290078,-0.015367935514414954,0.26210012658547754,0.014477849840579093,0.0955262450688969
BTC_LONG_8d967f7e7ca4eab1_2d,-0.35023962260685143,0.017118843648154136,0.030618456906884584,0.18978633259700056,0.09284789441084301,0.5135905943548539,0.15763973413422044
BTC_LONG_3fc88102a54ee0ad_12h,0.019392767669146438,0.23548934787741904,0.27530716593183774,0.15415764321550118,0.11044542012489073,-0.01883065364660974,-0.10824921493449163
BTC_LONG_68a3d0b0c63c3b13_2d,-0.06845527173201088,-0.12293664017568678,0.16592774820291312,0.2769807481439422,0.12293556361474633,0.1815431082678774,0.10152601723160626
BTC_LONG_82eb18af626016be_12h,0.2498036085821011,0.06652647944746332,-0.07974854922521457,0.12011934220316384,0.10611918514883417,0.19863010432081668,-0.08299566758842009
BTC_LONG_0fd6615935a42929_12h,-0.2744331585865525,0.126435131681354,0.14767022760388587,0.07558298786463608,0.08110977033821642,0.06155512881254832,0.41139573636011667
BTC_LONG_a92d11c420091618_3d,0.11538627770005283,-0.04564777678766896,0.045004214733473935,0.3230163890014377,0.14147549312648355,-0.046084568097147616,0.18779972819727142
BTC_LONG_3bf312a1be80dfa7_1d,-0.1661242817729301,0.12154461777752529,0.45028716120359147,0.21959382377780834,0.16126132757592265,-0.09052246993239077,0.010118811602409072
BTC_LONG_ac861e14bae89319_1d,0.057648136526263494,0.16011552574148946,0.04619504402830055,0.007461728800731426,0.07658298180218276,0.20603033539860632,-0.031030000127397206
BTC_LONG_06bafab89a238836_12h,-0.10022268533622386,0.019218854606647573,0.04666352943300678,0.027265624148438694,0.1821595862921615,0.12045493669519547,0.22604631541432557
BTC_LONG_a864e0a32e9d3bfb_2d,0.11681838372813746,0.30162379580100146,0.23718219334389062,-0.03163483528406197,-0.12127999165164349,0.17720722906838626,0.03126338584664429
BTC_LONG_0c7f2f1a3357a313_2d,0.030675110954792473,0.21007204732446133,0.05430149577459942,0.001548915785408611,0.13702315809961158,0.11252121579205587,-0.0045191278342945895
BTC_LONG_845287272ef90cce_1d,0.09406112206358042,0.05631908238614425,0.24893736443696063,0.010638384716006533,0.2094811945363591,-0.04612123168884563,-0.04241574765353323
BTC_LONG_7959fffc20283c3d_3d,-0.13553773635158933,0.011203683304771894,0.20086157375124547,0.07395764934831928,-0.013711917865754264,0.10213523698334187,0.326367540995699
BTC_LONG_19ec377e06899c5b_2d,0.03863232071651762,0.32927477073253947,-0.243600168236428,0.1922432593309224,0.3068649760976739,0.16526834234272253,-0.15991938970358271
BTC_LONG_724dd62221db474d_1d,0.3220622661390496,-0.006134576221032306,0.306494612129555,0.10222869532319717,-0.0979178528549966,0.030545291813984632,0.02225907435489005
BTC_LONG_b7542b0106e09467_1d,0.17351024074838578,-0.053297234551957506,0.3144150108812974,0.014955252538620456,-0.14544809824116395,0.09669941334186094,0.20013201471030467
BTC_LONG_6e2a45b1c1f2f36d_2d,-0.36969800311767986,0.05041194746167632,0.4369547066090292,0.19842960917705693,-0.1966548911081601,0.32033859711402973,0.16833506366018136
BTC_LONG_a5c815ef1d70fee7_12h,0.010503386632634004,0.031299386855169864,0.10099003101117171,0.23733541746966585,-0.0992678714028069,0.067010362603244,0.14556818357605017
BTC_LONG_225799ddff2477d1_12h,0.22295688787779194,0.02614107365941354,0.2031527958656087,-0.045092439958248735,0.2289268301076714,-0.27000564285327033,0.1486161520459121
BTC_LONG_39c4aa3f69b92e78_1d,0.16724488605224125,0.12120855354745308,-0.06010579694014151,0.09426759102651572,0.027645485548951854,0.0055571813033507556,0.11070522181676762
BTC_LONG_6e5a22a16dafcf43_12h,0.03774183038478518,0.02076254915505188,0.2901268421231893,0.11139158533893018,-0.04749036631641712,-0.019599861482493763,0.077675122273059
BTC_LONG_023dd7bb9d6ce9ce_2d,0.0899581231331692,-0.18343097565198974,0.36027285523862645,0.015464540781841285,-0.17368191739583816,0.2745987892820038,0.2248531966128035
BTC_LONG_4a5320eb6a3bcada_1d,0.006578292710606726,-0.06821222243759617,0.09434266199314673,0.028074858470714004,0.2554868346987179,0.08785131934816309,0.09115662352469989
