factor_id,candidate_index,horizon,cost_bp,q,positive_validation_blocks,worst_validation_block_bp,validation_rank_ic,validation_trades,validation_trades_per_year,validation_cagr,validation_sharpe,validation_max_drawdown,validation_calmar,validation_mean_gross_bp,selection_rank_ic,selection_trades,selection_trades_per_year,selection_cagr,selection_sharpe,selection_max_drawdown,selection_calmar,selection_mean_gross_bp,frequency_retention,balanced_cagr
BTC_LONG_283ec7ca4860ef29_1d,194273,1d,5.0,99,4,127.34172425436951,0.06885570787321371,19,14.195850587040365,0.5282087469066623,2.0861561082962505,-0.05500232406796046,9.60338959957422,318.97855414106857,-0.013568016491239527,64,18.55238095238095,0.10976838207278528,0.7172792569632048,-0.20547172150414883,0.5342262247536037,68.07644493803662,1.3068875893437295,0.10976838207278528
BTC_LONG_053b771f92828b09_1d,25158,1d,5.0,95,4,40.21924290517875,0.10412586139344734,80,59.772002471748905,0.8441607763121484,1.8242320718601073,-0.20929600408971027,4.033334415454568,118.8646934106774,0.013325961012860106,264,76.52857142857142,-0.0940769295041487,-0.2323310071652779,-0.4754198890687571,-0.19788177076147295,-3.163215610428589,1.2803414351851852,-0.0940769295041487
BTC_LONG_149214ecb27245d8_1d,99534,1d,5.0,95,4,44.931800374818366,0.08168198035419169,120,89.65800370762337,1.1773387628221026,2.3447315268935163,-0.13378280756029481,8.800374160868808,98.85288753832813,-0.0033965828741962935,531,153.9267857142857,-0.02315766191986579,0.10791001109845282,-0.39879294295701295,-0.05806938745744561,7.458429200847993,1.7168214699074071,-0.02315766191986579
BTC_LONG_8c488ff07c84625c_1d,679219,1d,5.0,95,4,69.04140690777938,0.03464933765134721,113,84.42795349134533,1.4500814371549051,2.8056904319217333,-0.18269932380793463,7.9369830546243545,117.89528595443723,-0.03265683201552484,427,123.77916666666667,-0.21188895168037236,-0.6439171513859863,-0.7371241668533375,-0.2874535406767243,-10.59778120434639,1.4660922306893913,-0.21188895168037236
BTC_LONG_6eceee78a3b0f50d_1d,536462,1d,5.0,99,2,-0.26677708883898754,0.04190513120449347,44,32.8746013594619,0.10836108656531351,0.5915660724676489,-0.19657040225990086,0.5512584057392373,42.94694392716683,-0.0037599887266214754,209,60.585119047619045,0.09256193423823178,0.5431060543843103,-0.2578879326378438,0.3589230922573566,22.838621548977226,1.8429157021604936,0.09256193423823178
BTC_LONG_affda81906065bd1_1d,853170,1d,5.0,99,3,-52.72306147400645,0.036123560831499944,31,23.1616509578027,0.31810465014940115,0.988070771280435,-0.3491139777223604,0.9111770666552342,147.7248905104326,0.013105703858801481,51,14.783928571428572,0.0303297732919523,0.28041393424663985,-0.13254620964099262,0.22882414649277302,31.872987265667323,0.6382933841099164,0.0303297732919523
BTC_LONG_5244410a719c78fe_1d,397816,1d,5.0,95,3,-29.007961590095665,0.021030810422693516,31,23.1616509578027,0.13812508629692255,0.6996881186757591,-0.13103366486865142,1.0541190802789466,71.40451611117248,0.06862979098285597,156,45.22142857142857,0.1696556293193856,0.755147978503073,-0.2916423446925184,0.5817249532068306,46.382915946829776,1.9524268219832734,0.13812508629692255
BTC_LONG_80ff23b2edbc57f7_1d,624381,1d,5.0,97,3,-46.331489606398364,0.01181365468601083,58,43.33470179201796,0.3248854034493449,1.264184222057464,-0.1669169613960576,1.9463893946551218,76.85883281002988,0.006018044569624425,261,75.65892857142858,0.021582216634414175,0.20867915779977855,-0.3405682754671201,0.06337118924189936,11.987223008187089,1.7459201388888888,0.021582216634414175
BTC_LONG_9cb93fe65fd3d96b_1d,759067,1d,5.0,97,4,99.41938162334931,0.11160535758732801,48,35.863201483049345,1.044080370570442,2.156033778221004,-0.1368563627726983,7.629023228569445,221.73785101671328,-0.005280467264802492,251,72.76011904761904,-0.022662516631514307,0.0527750339700571,-0.38178794480954936,-0.059358910986095303,6.962827722505957,2.028823865097736,-0.022662516631514307
BTC_LONG_7253f5dc949683e8_1d,553412,1d,5.0,99,3,-113.03468944955466,0.07280495539311044,26,19.425900803318395,0.6348740116337204,2.057049209020171,-0.05548419491896828,11.442429912895378,273.6460957737756,0.022802542499002907,83,24.060119047619047,0.09858398355514919,0.5909343130998205,-0.15800388763876871,0.62393391092081,51.248778819165864,1.2385587310066475,0.09858398355514919
